I_CATEGORY,N_COUNT,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018,I_Ventes_Volume_2019,I_Ventes_Volume_2018
,331,146118617.10000002,138640799.4,28341.4,76849.49999999999
BOLOGNAISE,208,58093341.199999996,58152594.1,9051500.599999998,10447638.900000006
PROVENCALE,37,32278024.699999996,30891189.0,8119206.100000001,7731375.9
PESTO_VERT,114,29125563.300000004,25848256.200000007,2012112.6,1774829.5999999996
BASILIC,102,18333316.800000004,18481104.799999997,2758564.6999999997,2816582.6
PESTO_ROUGE,65,15525902.5,14851225.599999998,1075399.2000000002,1068190.4
ARRABBIATA,69,8972383.9,8380153.899999999,1101549.0,1052723.0
FROMAGE,66,8443870.900000002,8519686.1,1056925.7999999998,1017119.0999999999
LEGUMES,132,7948215.5,7109981.699999997,1013724.4000000003,1093558.0000000005
OLIVES,59,6933484.800000001,7638677.1000000015,1103506.5,1231588.5999999999
CHAMPIGNONS,46,3821830.6999999997,3681776.1999999997,596995.6000000001,573022.1000000001
POMODORO,82,3210429.5999999996,3018327.3000000003,433032.1,429845.79999999993
AUBERGINES,20,1871005.2,1895218.2,111405.9,115297.9
POIVRON,32,1353286.1,1919777.4000000001,123568.5,226348.19999999998
AUTRE,68,1124886.6999999993,1088783.4,118534.50000000004,106217.80000000005
PESTO_AUTRE,12,655251.4,824977.0,47111.799999999996,57893.8
